No,㎡単価,交通,価格,取引態様,取引状況,商号,坪単価,専有面積,建物名,所在地,所在階,沿線駅,物件番号,物件種目,用途地域,管理費,築年月,間取,電話番号
,315.6万円,徒歩　11分,"24,800万円",専任,公開中,野村不動産ソリューションズ（株）　勝どきセンター,"1,043.2万円",78.59㎡,パークタワー晴海,東京都中央区晴海２丁目,46階,有楽町線　月島,100135849733,中古マンション,準工,"25,540円",2019年（平成31年） 2月,2ＳＬＤＫ,03-3534-7870
,127.2万円,徒歩　4分,"9,380万円",専任,公開中,（株）縁総合不動産,420.4万円,73.77㎡,ワコー東日本橋マンション,東京都中央区日本橋浜町１丁目,2階,都営新宿線　浜町,100136462210,中古マンション,商業,"28,360円",1980年（昭和55年） 4月,2ＳＬＤＫ,09022529844
,272.0万円,徒歩　18分,"20,000万円",専属,公開中,（株）東居商事,899.2万円,73.53㎡,ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｔ棟,東京都中央区晴海５丁目,34階,大江戸線　勝どき,100136905058,中古マンション,商業,"28,380円",2025年（令和 7年） 6月,2ＬＤＫ,03-5835-5095
,422.4万円,徒歩　7分,"30,580万円",代理,-,豊栄リアルエステート（株）,"1,396.3万円",72.40㎡,ベイサイドタワー晴海,東京都中央区晴海３丁目,33階,大江戸線　勝どき,100136903167,中古マンション,一住,"29,225円",2015年（平成27年）10月,2ＬＤＫ,03-6808-5886
,355.9万円,徒歩　5分,"37,000万円",専任,公開中,住友不動産ステップ（株）　東京湾岸マンションプラザ,"1,176.5万円",103.97㎡,ドゥトゥール（ＤＥＵＸ　ＴＯＵＲＳ）,東京都中央区晴海３丁目,,大江戸線　勝どき,100133290926,中古マンション,準工,"31,748円",2015年（平成27年） 9月,2ＬＤＫ,050-3112-9844
,280.1万円,徒歩　5分,"19,800万円",専任,公開中,住友不動産ステップ（株）　東京湾岸マンションプラザ,925.9万円,70.70㎡,ドゥトゥール（ＤＥＵＸ　ＴＯＵＲＳ）,東京都中央区晴海３丁目,43階,大江戸線　勝どき,100135305431,中古マンション,準工,"22,018円",2015年（平成27年） 9月,2ＬＤＫ,050-3112-9844
,191.8万円,徒歩　12分,"13,880万円",専任,公開中,住友不動産ステップ（株）　日本橋マンションプラザ,633.8万円,72.40㎡,ザ・晴海レジデンス,東京都中央区晴海５丁目,9階,大江戸線　勝どき,100136879252,中古マンション,商業,"16,800円",2009年（平成21年） 2月,2ＬＤＫ,050-3112-9831
,232.6万円,徒歩　5分,"16,800万円",専属,公開中,東急リバブル（株）　勝どきミッドセンター,768.7万円,72.25㎡,ドゥ・トゥール,東京都中央区晴海３丁目,6階,大江戸線　勝どき,100134460148,中古マンション,準工,"12,370円",2015年（平成27年）10月,2ＬＤＫ,03-6882-0109
,679.1万円,徒歩　17分,"80,000万円",一般,-,野村不動産ソリューションズ（株）　レアリア東京,"2,244.7万円",117.82㎡,ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥＴ棟,東京都中央区晴海５丁目,50階,大江戸線　勝どき,100136158949,新築マンション,商業,"46,300円",2025年（令和 7年） 9月,2ＬＤＫ,03-5114-5973
,267.0万円,徒歩　12分,"21,000万円",売主,-,（株）Ｇｏｌｄｅｎｌｉｇｈｔ　Ｔｒａｄｉｎｇ　Ｓｅｒｖｉｃｅ,882.5万円,78.67㎡,パークタワー晴海,東京都中央区晴海２丁目,18階,有楽町線　月島,100135902162,中古マンション,準工,"25,570円",2019年（平成31年） 2月,2ＳＬＤＫ,03-5159-6120
,295.2万円,徒歩　3分,"21,500万円",一般 オーナーチェンジ,-,（株）ミラキュラル,975.7万円,72.85㎡,ブリリアザタワー東京八重洲アベニュー,東京都中央区新川２丁目,13階,日比谷線　八丁堀,100136869213,中古マンション,商業,"26,400円",2019年（令和 1年）10月,2ＬＤＫ,08031211062
,143.7万円,徒歩　10分,"11,380万円",専任,公開中,ロイヤルハウジング販売（株）　勝どきザ・タワー店,475.0万円,79.20㎡,ザ・晴海レジデンス,東京都中央区晴海５丁目,3階,大江戸線　勝どき,100136523978,中古マンション,商業,"18,400円",2009年（平成21年） 3月,2ＬＤＫ,03-6221-1101
,270.1万円,徒歩　5分,"19,700万円",専任,公開中,住友不動産ステップ（株）　東京湾岸マンションプラザ,892.8万円,72.95㎡,ドゥトゥール（ＤＥＵＸ　ＴＯＵＲＳ）,東京都中央区晴海３丁目,26階,大江戸線　勝どき,100136843945,中古マンション,準工,"22,668円",2015年（平成27年） 9月,2ＬＤＫ,050-3112-9844
,342.9万円,徒歩　7分,"24,980万円",一般 オーナーチェンジ,-,東急リバブル（株）　勝どきセンター,"1,133.6万円",72.85㎡,勝どきザタワー,東京都中央区勝どき５丁目,51階,大江戸線　勝どき,100134503377,中古マンション,商業,"17,410円",2016年（平成28年）11月,2ＬＤＫ,03-6866-3861
,679.1万円,徒歩　18分,"80,000万円",一般,-,ロイヤルハウジング販売（株）　勝どきビュータワー店,"2,244.7万円",117.82㎡,ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｔ棟,東京都中央区晴海５丁目,50階,大江戸線　勝どき,100136078455,新築マンション,商業,"46,300円",2025年（令和 7年） 9月,2ＬＤＫ,03-6864-1811
,149.1万円,徒歩　3分,"11,000万円",売主,-,（株）スプリングエステート横浜支社　横浜支社,492.7万円,73.81㎡,銀座タワー,東京都中央区銀座１丁目,4階,有楽町線　新富町,100136843573,中古マンション,商業,"23,300円",2003年（平成15年） 7月,2ＬＤＫ,080-4784-3386
,151.8万円,徒歩　8分,"11,500万円",一般,-,（株）ブリッジフォートゥモロー,501.8万円,75.77㎡,銀座タワー,東京都中央区銀座１丁目,17階,銀座線　銀座,100136840056,中古マンション,商業,"23,900円",2003年（平成15年） 7月,2ＬＤＫ,03-6447-1416
,354.5万円,徒歩　2分,"27,780万円",売主 オーナーチェンジ,-,（株）アローズリアルエステート,"1,171.7万円",78.38㎡,パークタワー勝どきサウス,東京都中央区勝どき４丁目,37階,大江戸線　勝どき,100136182677,中古マンション,二住,"27,980円",2023年（令和 5年） 8月,2ＬＤＫ,03-3245-8200
,239.0万円,徒歩　7分,"21,300万円",売主,-,（株）ジャパンプライムムーバ,790.0万円,89.14㎡,ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＳＥＡ　ＴＯＷＥＲ,東京都中央区勝どき６丁目,50階,大江戸線　勝どき,100136835630,中古マンション,商業,"18,270円",2008年（平成20年） 1月,2ＳＬＤＫ,03-6809-5481
,225.7万円,徒歩　7分,"19,600万円",売主,-,（株）ジャパンプライムムーバ,746.0万円,86.86㎡,ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＳＥＡ　ＴＯＷＥＲ,東京都中央区勝どき６丁目,47階,大江戸線　勝どき,100136835611,中古マンション,商業,"17,810円",2008年（平成20年） 1月,2ＬＤＫ,03-6809-5481
,342.9万円,徒歩　7分,"24,980万円",一般 オーナーチェンジ,-,住友不動産ステップ（株）　梅田マンションプラザ,"1,133.6万円",72.85㎡,勝どきザ・タワー,東京都中央区勝どき５丁目,,大江戸線　勝どき,300133597717,中古マンション,一住,"17,410円",2016年（平成28年）11月,2ＬＤＫ,050-3112-8274
,366.5万円,徒歩　10分,"30,900万円",専任,公開中,三井不動産リアルティ（株）三井のリハウス勝どきザ・タワーセンター,"1,211.3万円",84.33㎡,ＴＨＥ　ＴＯＹＯＭＩ　ＴＯＷＥＲ　ＭＡＲＩＮＥ＆ＳＫＹ　東ウイング,東京都中央区豊海町,23階,大江戸線　勝どき,100134507907,新築マンション,準工,"33,930円",2026年（令和 8年）11月,2ＬＤＫ,03-3533-5731
,226.7万円,徒歩　14分,"18,500万円",専属,公開中,（株）グランクリエイト,749.2万円,81.64㎡,パークタワー晴海,東京都中央区晴海２丁目,30階,大江戸線　勝どき,100136822550,中古マンション,準工,"26,530円",2019年（令和 1年） 6月,2ＬＤＫ,03-6381-7604
,274.8万円,徒歩　18分,"19,800万円",一般,-,ＧｒａｎＴｏｋｙｏ（株）,908.4万円,72.06㎡,ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｔ棟,東京都中央区晴海５丁目,,大江戸線　勝どき,100134272696,新築マンション,商業,"28,320円",2025年（令和 7年）10月,2ＬＤＫ,0345003353
,192.7万円,徒歩　8分,"15,900万円",売主,-,（株）インテグリティ,636.8万円,82.55㎡,スカイライトタワー,東京都中央区佃１丁目,38階,有楽町線　月島,100136808141,中古マンション,一住,"36,500円",1993年（平成 5年） 2月,2ＳＬＤＫ,03-5620-8581
,185.3万円,徒歩　18分,"13,500万円",売主,-,（株）クオクリ,612.4万円,72.88㎡,ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮＶＩＬＬＡＧＥ－Ｂ（ハルミフラッグ）,東京都中央区晴海５丁目,3階,大江戸線　勝どき,100136409144,中古マンション,準工,"25,290円",2023年（令和 5年）11月,2ＬＤＫ,03-6771-9271
,252.2万円,徒歩　5分,"17,900万円",専属,公開中,東急リバブル（株）　勝どきミッドセンター,833.7万円,70.98㎡,ドゥ・トゥール　ＥＡＳＴ,東京都中央区晴海３丁目,14階,大江戸線　勝どき,100134460150,中古マンション,準工,"22,098円",2015年（平成27年）10月,2ＬＤＫ,03-6882-0109
,173.0万円,徒歩　6分,"12,480万円",売主,-,（株）大京穴吹不動産　アセット事業部,571.9万円,72.14㎡,ソフィアタワー勝どき,東京都中央区勝どき３丁目,22階,大江戸線　勝どき,100136624002,中古マンション,二住,"18,520円",2000年（平成12年） 2月,2ＳＬＤＫ,050-3628-8514
,331.5万円,徒歩　14分,"30,000万円",専任,公開中,三井不動産リアルティ（株）三井のリハウスららテラスＨＡＲＵＭＩＦＬＡＧセンター,"1,095.9万円",90.50㎡,ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｔ棟,東京都中央区晴海５丁目,49階,大江戸線　勝どき,100136019171,中古マンション,商業,"34,920円",2025年（令和 7年） 8月,2ＬＤＫ,03-3536-6731
,252.8万円,徒歩　2分,"22,000万円",専任,公開中,三井不動産リアルティ（株）三井のリハウスららぽーと豊洲センター,835.6万円,87.04㎡,ファミール月島グランスイートタワー,東京都中央区佃２丁目,20階,有楽町線　月島,100136773394,中古マンション,商業,"18,700円",2002年（平成14年） 6月,2ＬＤＫ,03-3532-3331
,331.5万円,徒歩　1分,"25,480万円",一般,-,三井不動産リアルティ（株）三井のリハウス勝どきミッドセンター,"1,095.7万円",76.88㎡,パークタワー勝どきミッド,東京都中央区勝どき４丁目,39階,大江戸線　勝どき,100134913584,中古マンション,商業,"26,910円",2023年（令和 5年） 8月,2ＬＤＫ,03-5548-5331
,331.5万円,徒歩　1分,"25,480万円",一般,-,（株）スワン,"1,095.7万円",76.88㎡,パークタワー勝どきミッド,東京都中央区勝どき４丁目,,大江戸線　勝どき,100136785340,中古マンション,二住,"26,990円",2023年（令和 5年） 8月,2ＬＤＫ,090-1926-6527
,357.0万円,徒歩　1分,"37,000万円",専任,公開中,（株）アジア商事,"1,180.0万円",103.66㎡,パークタワー勝どき　ミッド,東京都中央区勝どき４丁目,24階,大江戸線　勝どき,100136784959,中古マンション,二住,"36,390円",2023年（令和 5年） 8月,2ＬＤＫ,080-4673-5207
,197.2万円,徒歩　4分,"13,800万円",売主,-,（株）コスモスイニシア　錦糸町営業所,651.7万円,70.01㎡,クレストフォルム日本橋リバーフロントタワー,東京都中央区日本橋箱崎町,,半蔵門線　水天宮前,100136445010,中古マンション,商業,"13,700円",2001年（平成13年）10月,2ＳＬＤＫ,03-3635-8050
,394.0万円,徒歩　1分,"29,500万円",専任,公開中,住友不動産ステップ（株）　東京湾岸マンションプラザ,"1,302.4万円",74.88㎡,パークタワー勝どきミッド,東京都中央区勝どき４丁目,36階,大江戸線　勝どき,100136700970,中古マンション,商業,"26,910円",2023年（令和 5年） 8月,2ＬＤＫ,050-3112-9844
,225.9万円,徒歩　13分,"17,800万円",一般,-,住友不動産ステップ（株）　東京湾岸マンションプラザ,746.6万円,78.82㎡,ザ・パークハウス晴海タワーズ　ティアロレジデンス,東京都中央区晴海２丁目,36階,有楽町線　月島,100136580661,中古マンション,準工,"25,210円",2016年（平成28年） 3月,2ＬＤＫ,050-3112-9844
,331.5万円,徒歩　1分,"25,480万円",一般,-,大成有楽不動産販売（株）　北千住センター,"1,095.7万円",76.88㎡,パークタワー勝どきミッド,東京都中央区勝どき４丁目,,大江戸線　勝どき,100134828356,中古マンション,二住,"26,990円",2023年（令和 5年） 8月,2ＬＤＫ,03-5813-0711
,307.0万円,徒歩　15分,"21,800万円",一般,-,住友不動産ステップ（株）　日本橋マンションプラザ,"1,014.9万円",71.01㎡,ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｔ棟,東京都中央区晴海５丁目,47階,大江戸線　勝どき,100136623353,中古マンション,商業,"27,900円",2025年（令和 7年） 8月,2ＬＤＫ,050-3112-9831
,264.5万円,徒歩　5分,"18,700万円",専属,公開中,住友不動産ステップ（株）　東京湾岸マンションプラザ,874.4万円,70.70㎡,ドゥトゥール（ＤＥＵＸ　ＴＯＵＲＳ）,東京都中央区晴海３丁目,25階,大江戸線　勝どき,100134339839,中古マンション,準工,"22,018円",2015年（平成27年） 9月,2ＬＤＫ,050-3112-9844
,197.9万円,徒歩　16分,"15,000万円",専任,公開中,ロイヤルハウジング販売（株）　勝どきビュータワー店,654.2万円,75.80㎡,ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｂ棟,東京都中央区晴海５丁目,12階,大江戸線　勝どき,100134756791,中古マンション,商業,"22,820円",2023年（令和 5年）11月,2ＬＤＫ,03-6864-1811
,316.7万円,徒歩　7分,"24,000万円",専任,公開中,野村不動産ソリューションズ（株）　日本橋営業部,"1,046.7万円",75.80㎡,イニシア築地レジデンス,東京都中央区築地７丁目,11階,日比谷線　築地,100136373466,中古マンション,商業,"21,800円",2021年（令和 3年） 2月,2ＬＤＫ,03-5202-7080
,481.7万円,徒歩　2分,"44,800万円",専任,公開中,野村不動産ソリューションズ（株）　レアリア東京,"1,592.3万円",93.01㎡,パークタワー勝どきサウス,東京都中央区勝どき４丁目,57階,大江戸線　勝どき,100136246406,中古マンション,二住,"33,050円",2023年（令和 5年） 8月,2ＳＬＤＫ,03-5114-5973
,424.1万円,徒歩　11分,"44,800万円",専任,公開中,野村不動産ソリューションズ（株）　豊洲センター,"1,401.8万円",105.65㎡,パークタワー晴海,東京都中央区晴海２丁目,48階,有楽町線　月島,100134901389,中古マンション,準工,"34,580円",2019年（平成31年） 2月,2ＬＤＫ,03-6221-5361
,236.6万円,徒歩　7分,"16,800万円",専任,公開中,東急リバブル（株）　豊洲センター,782.2万円,71.01㎡,ウィルローズ築地,東京都中央区築地６丁目,13階,日比谷線　築地,100136529023,中古マンション,商業,"17,610円",2012年（平成24年） 4月,2ＳＬＤＫ,03-6864-1109
,235.2万円,徒歩　11分,"16,480万円",売主,-,（株）ゼニアス,777.3万円,70.09㎡,パークタワー晴海,東京都中央区晴海２丁目,17階,有楽町線　月島,100135802946,中古マンション,準工,"22,780円",2019年（平成31年） 2月,2ＬＤＫ,080-4955-0231
,345.5万円,徒歩　2分,"26,800万円",代理 オーナーチェンジ,-,フクザワ（株）,"1,142.0万円",77.58㎡,パークタワー勝どきサウス（定借手あり）,東京都中央区勝どき４丁目,,大江戸線　勝どき,100132683249,中古マンション,二住,"27,000円",2023年（令和 5年） 8月,2ＬＤＫ,080-7237-8624
,679.1万円,徒歩　15分,"80,000万円",一般,-,三井不動産リアルティ（株）三井のリハウスららテラスＨＡＲＵＭＩＦＬＡＧセンター,"2,244.7万円",117.82㎡,ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｔ棟,東京都中央区晴海５丁目,50階,大江戸線　勝どき,100136372140,中古マンション,商業,"46,300円",2025年（令和 7年） 8月,2ＬＤＫ,03-3536-6731
,241.8万円,徒歩　6分,"17,500万円",代理,-,（有）和光,799.3万円,72.38㎡,勝どきザ・タワー,東京都中央区勝どき５丁目,34階,大江戸線　勝どき,100134874846,中古マンション,商業,"17,300円",2016年（平成28年）11月,2ＬＤＫ,03-6550-9911
,278.3万円,徒歩　5分,"20,800万円",専属,公開中,東急リバブル（株）　勝どきミッドセンター,919.9万円,74.75㎡,ドゥ・トゥール　ＥＡＳＴ,東京都中央区晴海３丁目,42階,大江戸線　勝どき,100136713651,中古マンション,準工,"23,208円",2015年（平成27年）10月,2ＬＤＫ,03-6882-0109
,345.5万円,徒歩　2分,"26,800万円",一般 オーナーチェンジ,-,ネットベーシック（株）,"1,142.0万円",77.58㎡,パークタワー勝どき　サウス,東京都中央区勝どき４丁目,,大江戸線　勝どき,100131410186,中古マンション,二住,"27,000円",2023年（令和 5年） 8月,2ＬＤＫ,09049189188
,307.0万円,徒歩　15分,"21,800万円",一般,-,三井不動産リアルティ（株）三井のリハウスららテラスＨＡＲＵＭＩＦＬＡＧセンター,"1,014.9万円",71.01㎡,ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｔ棟,東京都中央区晴海５丁目,47階,大江戸線　勝どき,100136484559,中古マンション,商業,"27,900円",2025年（令和 7年） 8月,2ＬＤＫ,03-3536-6731
,179.3万円,徒歩　4分,"16,000万円",専属,公開中,（株）グランクリエイト,592.7万円,89.25㎡,銀座タワー,東京都中央区銀座１丁目,20階,有楽町線　銀座一丁目,100136695444,中古マンション,商業,"28,143円",2003年（平成15年） 7月,2ＬＤＫ,03-6381-7604
,480.5万円,徒歩　1分,"35,000万円",専任,公開中,リストインターナショナルリアルティ（株）　南東京支店,"1,588.3万円",72.85㎡,ブリリアザ・タワー東京八重洲アベニュー,東京都中央区新川２丁目,27階,京葉線　八丁堀,100136705559,中古マンション,商業,"26,400円",2017年（平成29年） 9月,2ＳＬＤＫ,03-6715-8470
,230.4万円,徒歩　8分,"17,990万円",売主,-,グローバルベイス（株）,761.4万円,78.11㎡,センチュリーパークタワー,東京都中央区佃２丁目,47階,有楽町線　月島,100136704638,中古マンション,商業,"26,900円",1999年（平成11年） 1月,2ＬＤＫ,070-1513-2445
,282.6万円,徒歩　2分,"19,800万円",専任 オーナーチェンジ,公開中,（株）大京穴吹不動産　日本橋レジデンスサロン,934.2万円,70.07㎡,ＧＲＥＥＮ　ＰＡＲＫ　水天宮前,東京都中央区日本橋蛎殻町１丁目,4階,半蔵門線　水天宮前,100136690865,中古マンション,商業,"24,400円",2014年（平成26年） 3月,2ＬＤＫ,03-6757-6451
,191.8万円,徒歩　7分,"13,480万円",専属,公開中,東急リバブル（株）　勝どきセンター,633.8万円,70.31㎡,クレストシティレジデンス,東京都中央区勝どき５丁目,5階,大江戸線　勝どき,100136432701,中古マンション,商業,"16,900円",2007年（平成19年） 2月,2ＬＤＫ,03-6866-3861
,240.5万円,徒歩　5分,"22,000万円",専任,公開中,（株）すむぞう,794.8万円,91.51㎡,ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＭＩＤＴＯＷＥＲ　ザ東京タワーズ,東京都中央区勝どき６丁目,48階,大江戸線　勝どき,100136525620,中古マンション,準工,"18,760円",2008年（平成20年） 1月,2ＬＤＫ,03-6712-7630
,207.0万円,徒歩　7分,"17,980万円",専属,公開中,日本新都市リアルタ（株）,684.3万円,86.86㎡,ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＳＥＡＴＯＷＥＲ,東京都中央区勝どき６丁目,48階,大江戸線　勝どき,100136661683,中古マンション,商業,"17,810円",2008年（平成20年） 1月,2ＬＤＫ,090-6042-2467
,337.9万円,徒歩　2分,"25,980万円",売主 オーナーチェンジ,-,（株）アローズリアルエステート,"1,116.9万円",76.90㎡,パークタワー勝どきサウス,東京都中央区勝どき４丁目,45階,大江戸線　勝どき,100134872728,中古マンション,二住,"27,470円",2023年（令和 5年） 8月,2ＬＤＫ,03-3245-8200
,211.7万円,徒歩　21分,"14,990万円",一般,-,（株）クラウドマーケット,699.9万円,70.81㎡,ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｂ棟,東京都中央区晴海５丁目,15階,大江戸線　勝どき,100136625902,中古マンション,商業,"22,160円",2023年（令和 5年）11月,2ＬＤＫ,08080805563
,255.2万円,徒歩　10分,"18,800万円",専任,公開中,（株）政和コーポレーション,843.7万円,73.67㎡,ザ・豊海タワー　マリン＆スカイ　ＥＡＳＴ棟,東京都中央区豊海町,24階,大江戸線　勝どき,100134052932,中古マンション,準工,"29,690円",2026年（令和 8年）11月,2ＬＤＫ,08043451999
,199.3万円,徒歩　17分,"15,980万円",専任,公開中,（株）大京穴吹不動産　月島店,658.8万円,80.19㎡,ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｂ棟,東京都中央区晴海５丁目,15階,大江戸線　勝どき,100132974169,中古マンション,商業,"25,100円",2023年（令和 5年）11月,2ＬＤＫ,03-3536-6437
,233.4万円,徒歩　9分,"17,300万円",代理,-,（株）東陽投資ＧＲＯＵＰ,771.5万円,74.13㎡,センチュリーパークタワー　手あり,東京都中央区佃２丁目,43階,有楽町線　月島,100134589083,中古マンション,商業,"25,600円",1999年（平成11年） 1月,2ＬＤＫ,03-3801-3115
,288.9万円,徒歩　10分,"21,500万円",専任,公開中,（株）スワン,954.8万円,74.44㎡,ＴＨＥ　ＴＯＹＯＭＩ　ＴＯＷＥＲ　ＭＡＲＩＮＥ＆ＳＫＹ　東ウイング,東京都中央区豊海町,30階,大江戸線　勝どき,100136589862,新築マンション,準工,"29,620円",2027年（令和 9年） 9月,2ＬＤＫ,090-8343-8189
,273.8万円,徒歩　1分,"19,480万円",一般,-,（株）有栖川アセットコンサルティング,905.0万円,71.16㎡,ブリリアザタワー東京八重洲アベニュー,東京都中央区新川２丁目,4階,京葉線　八丁堀,100135457270,中古マンション,商業,"25,800円",2017年（平成29年）11月,2ＬＤＫ,080-4570-6517
,284.9万円,徒歩　7分,"25,800万円",専任,公開中,三井不動産リアルティ（株）三井のリハウス勝どきミッドセンター,941.7万円,90.57㎡,勝どきザ・タワー,東京都中央区勝どき５丁目,16階,大江戸線　勝どき,100136144647,中古マンション,商業,"21,640円",2016年（平成28年）11月,2ＬＤＫ,03-5548-5331
,225.9万円,徒歩　13分,"17,800万円",一般,-,三井不動産リアルティ（株）三井のリハウスららぽーと豊洲センター,746.6万円,78.82㎡,ザ・パークハウス晴海タワーズ　ティアロレジデンス,東京都中央区晴海２丁目,36階,大江戸線　勝どき,100136523994,中古マンション,準工,"25,210円",2016年（平成28年） 3月,2ＬＤＫ,03-3532-3331
,302.3万円,徒歩　1分,"24,980万円",専任,公開中,三井不動産リアルティ（株）三井のリハウス勝どきミッドセンター,999.1万円,82.66㎡,勝どきビュータワー,東京都中央区勝どき１丁目,46階,大江戸線　勝どき,100136398957,中古マンション,商業,"22,850円",2010年（平成22年）11月,2ＬＤＫ,03-5548-5331
,475.1万円,徒歩　17分,"39,100万円",専任,公開中,（株）ｋｉｔｔｉｒｉ,"1,570.4万円",82.31㎡,ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｔ棟,東京都中央区晴海５丁目,50階,大江戸線　勝どき,300136556928,新築マンション,商業,"32,350円",2025年（令和 7年） 9月,2ＬＤＫ,06-6532-2111
,430.9万円,徒歩　6分,"33,000万円",専任,公開中,ロイヤルハウジング販売（株）　勝どきビュータワー店,"1,424.4万円",76.59㎡,パークシティ中央湊ザ　タワー,東京都中央区湊２丁目,28階,京葉線　八丁堀,100135092298,中古マンション,商業,確認中,2017年（平成29年）11月,2ＬＤＫ,03-6864-1811
,448.0万円,徒歩　5分,"44,800万円",専任,公開中,三井不動産リアルティ（株）三井のリハウス勝どきミッドセンター,"1,480.7万円",100.02㎡,ドゥ・トゥール　ＷＥＳＴ,東京都中央区晴海３丁目,49階,大江戸線　勝どき,100136433289,中古マンション,準工,"30,598円",2015年（平成27年）10月,2ＬＤＫ,03-5548-5331
,291.9万円,徒歩　10分,"21,500万円",一般,-,（株）ＹＡＫ,964.8万円,73.67㎡,ザ・豊海タワー　マリン＆スカイ,東京都中央区豊海町,22階,大江戸線　勝どき,100136499968,中古マンション,準工,"29,690円",2026年（令和 8年）11月,2ＬＤＫ,08030991878
,278.7万円,徒歩　5分,"19,780万円",専任,公開中,三井不動産リアルティ（株）三井のリハウス勝どきミッドセンター,921.3万円,70.98㎡,ドゥ・トゥール　ＥＡＳＴ,東京都中央区晴海３丁目,9階,大江戸線　勝どき,100136414677,中古マンション,準工,"22,098円",2015年（平成27年）10月,2ＬＤＫ,03-5548-5331
,139.4万円,徒歩　7分,"10,880万円",専属,公開中,東急リバブル（株）　月島センター,460.8万円,78.07㎡,シティフロントタワー,東京都中央区佃１丁目,7階,有楽町線　月島,100136405945,中古マンション,一住,"33,750円",1991年（平成 3年） 8月,2ＬＤＫ,03-6864-4109
,229.4万円,徒歩　12分,"16,980万円",専任,公開中,住友不動産ステップ（株）　東京湾岸マンションプラザ,758.2万円,74.04㎡,ザ・パークハウス晴海タワーズ　クロノレジデンス,東京都中央区晴海２丁目,22階,大江戸線　勝どき,100134094343,中古マンション,準工,"21,990円",2013年（平成25年）11月,2ＬＤＫ,050-3112-9844
,153.8万円,徒歩　10分,"18,300万円",専任,公開中,三井不動産リアルティ（株）三井のリハウス勝どきザ・タワーセンター,508.3万円,119.02㎡,コスモ東京ベイタワー,東京都中央区勝どき５丁目,24階,大江戸線　勝どき,100136414757,中古マンション,準工,"25,800円",2000年（平成12年）10月,2ＬＤＫ,03-3533-5731
,273.8万円,徒歩　1分,"19,480万円",一般,-,三井不動産リアルティ（株）三井のリアルプラン銀座サロン,905.0万円,71.16㎡,ブリリアザタワー東京八重洲アベニュー,東京都中央区新川２丁目,4階,京葉線　八丁堀,100135252674,中古マンション,商業,"25,800円",2017年（平成29年） 9月,2ＬＤＫ,03-3575-1133
,283.0万円,徒歩　10分,"20,800万円",一般,-,東急リバブル（株）　豊洲センター,935.4万円,73.51㎡,ＴＨＥ　ＴＯＹＯＭＩ　ＴＯＷＥＲ　ＭＡＲＩＮＥ＆ＳＫＹ,東京都中央区豊海町,25階,大江戸線　勝どき,100136435100,新築マンション,準工,"29,620円",2026年（令和 8年）11月,2ＬＤＫ,03-6864-1109
,453.2万円,徒歩　2分,"46,800万円",一般,-,オークラヤ住宅（株）　門前仲町営業所,"1,498.0万円",103.28㎡,パークタワー勝どきサウス,東京都中央区勝どき４丁目,51階,大江戸線　勝どき,100136421646,中古マンション,二住,"36,800円",2023年（令和 5年） 8月,2ＬＤＫ,03-6370-0900
,390.9万円,徒歩　2分,"27,800万円",専任,公開中,（株）中華街不動産,"1,292.2万円",71.12㎡,パークタワー勝どきサウス,東京都中央区勝どき４丁目,51階,大江戸線　勝どき,100134558905,中古マンション,商業,"24,840円",2023年（令和 5年） 8月,2ＬＤＫ,09023106688
,213.6万円,徒歩　7分,"14,980万円",売主,-,住商レジデンシャル（株）　首都圏営業センター,705.9万円,70.16㎡,ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＳＥＡ　ＴＯＷＥＲ,東京都中央区勝どき６丁目,5階,大江戸線　勝どき,100136408443,中古マンション,二住,"14,380円",2008年（平成20年） 1月,2ＬＤＫ,03-5547-9111
