No,物件番号,物件種目,専有面積,所在地,取引態様,価格,用途地域,㎡単価,建物名,所在階,間取,取引状況,管理費,坪単価,沿線駅,交通,商号,築年月,電話番号
,100137095580,中古マンション,68.27㎡,東京都新宿区若松町,専任,"15,990万円",商業,234.3万円,ジオ新宿若松町,13階,3ＬＤＫ,公開中,"17,410円",774.3万円,大江戸線　若松河田,徒歩　2分,野村不動産ソリューションズ（株）　本店営業部,2018年（平成30年） 4月,03-3345-0378
,100136484529,新築マンション,66.34㎡,東京都新宿区高田馬場４丁目,代理,"13,000万円",一住,196.0万円,パークシティ高田馬場,1階,3ＬＤＫ,-,"24,410円",647.9万円,山手線　高田馬場,徒歩　8分,（株）ＴＯＹＯ　ＨＯＭＥＳ,2025年（令和 7年） 6月,08030257405
,100136941325,中古マンション,92.54㎡,東京都新宿区須賀町,一般,"10,980万円",一中,118.7万円,ＷＩＬＬ信濃町,,3ＬＤＫ,-,"18,100円",392.3万円,丸ノ内線　四谷三丁目,徒歩　6分,三和総合管理（株）,2003年（平成15年） 2月,03-3322-2505
,100136679219,中古マンション,80.70㎡,東京都新宿区西新宿５丁目,一般,"28,000万円",商業,347.0万円,パークタワー西新宿,18階,3ＬＤＫ,-,"36,310円","1,147.0万円",大江戸線　西新宿五丁目,徒歩　6分,信義房屋不動産（株）　六本木店,2024年（令和 6年）11月,03-5843-0108
,100137087175,中古マンション,106.96㎡,東京都新宿区西新宿６丁目,一般,"30,000万円",商業,280.5万円,コンシェリア西新宿ＴＯＷＥＲ’ＳＷＥＳＴ,,3ＬＤＫ,-,"42,400円",927.3万円,大江戸線　西新宿五丁目,徒歩　7分,東京建物不動産販売（株）　新宿支店,2008年（平成20年） 1月,03-3342-6051
,100135084390,中古マンション,79.63㎡,東京都新宿区神楽坂５丁目,専属 オーナーチェンジ,"8,580万円",商業,107.8万円,,21階,3ＬＤＫ,公開中,"22,140円",356.2万円,大江戸線　牛込神楽坂,徒歩　3分,（株）トラストビジョン,2003年（平成15年） 1月,03-5366-1961
,100135894195,中古マンション,78.36㎡,東京都新宿区富久町,専任,"29,400万円",商業,375.2万円,富久クロスコンフォートタワー,54階,3ＬＤＫ,公開中,"29,450円","1,240.4万円",丸ノ内線　新宿御苑前,徒歩　7分,野村不動産ソリューションズ（株）　レアリア東京,2015年（平成27年） 4月,03-5114-5973
,100136573517,中古マンション,58.43㎡,東京都新宿区大久保３丁目,専属,"9,800万円",一住,167.8万円,エム・ブランド新宿戸山公園,2階,3ＬＤＫ,公開中,"15,200円",554.5万円,副都心線　西早稲田,徒歩　5分,（株）ハウスコミュニケーション　新宿営業センター,2008年（平成20年） 1月,03-5291-1488
,100137079175,中古マンション,81.79㎡,東京都新宿区富久町,売主,"32,190万円",商業,393.6万円,富久クロスコンフォートタワー,20階,3ＬＤＫ,-,"28,780円","1,301.1万円",丸ノ内線　新宿御苑前,徒歩　7分,グローバルベイス（株）,2015年（平成27年） 4月,070-1302-2375
,100136727958,中古マンション,73.24㎡,東京都新宿区高田馬場４丁目,一般,"18,480万円",商業,252.4万円,パークシティ高田馬場,7階,3ＬＤＫ,-,"26,950円",834.2万円,山手線　高田馬場,徒歩　7分,フェニックスホーム（株）,2025年（令和 7年） 6月,047-710-0768
,100136357231,中古マンション,101.31㎡,東京都新宿区内藤町,専任,"39,990万円",商業,394.8万円,フォルム内藤町,6階,3ＬＤＫ,公開中,"40,900円","1,304.9万円",丸ノ内線　新宿御苑前,徒歩　5分,（株）大京穴吹不動産　番町レジデンスサロン,2009年（平成21年） 1月,03-6670-9177
,100136974973,中古マンション,70.08㎡,東京都新宿区四谷三栄町,一般,"23,980万円",近商,342.2万円,プレミスト四谷カレントコート,3階,3ＬＤＫ,-,"22,496円","1,131.2万円",総武中央線　四ツ谷,徒歩　5分,東急リバブル（株）　四谷センター,2013年（平成25年） 6月,03-6863-0109
,100135972014,中古マンション,80.32㎡,東京都新宿区歌舞伎町２丁目,売主,"14,980万円",商業,186.6万円,東新宿レジデンシャルタワー,12階,3ＬＤＫ,-,"21,570円",616.6万円,大江戸線　東新宿,徒歩　1分,コプラムハウス（株）,2001年（平成13年） 2月,09090119897
,100137070773,中古マンション,105.27㎡,東京都新宿区市谷本村町,専任,"33,300万円",二住,316.4万円,ＴＨＥ　ＣＥＮＴＥＲ　ＴＯＫＹＯ,38階,3ＬＤＫ,公開中,"35,188円","1,045.8万円",都営新宿線　曙橋,徒歩　5分,住友不動産ステップ（株）　本社マンションプラザ,2007年（平成19年）11月,050-3112-9913
,100136778083,中古マンション,66.47㎡,東京都新宿区西新宿４丁目,専任,"7,480万円",商業,112.6万円,新宿ニューハウジング,10階,3ＤＫ,公開中,"16,200円",372.1万円,大江戸線　西新宿五丁目,徒歩　4分,住友不動産ステップ（株）　本社営業センター１課,1973年（昭和48年） 9月,050-3112-9914
,100135918626,中古タウン,129.37㎡,東京都新宿区市谷砂土原町３丁目,一般,"17,300万円",一中,133.8万円,ロイヤルステージ市ヶ谷,2階,3ＬＤＫ,-,なし,442.1万円,南北線　市ケ谷,徒歩　4分,（株）中央恒産,1996年（平成 8年） 6月,09023102128
,100136938729,中古マンション,73.24㎡,東京都新宿区高田馬場４丁目,一般,"18,980万円",商業,259.2万円,パークシティ高田馬場,7階,3ＬＤＫ,-,"26,950円",856.7万円,山手線　高田馬場,徒歩　8分,信義房屋不動産（株）,2025年（令和 7年） 3月,0353886899
,100135940351,中古マンション,64.77㎡,東京都新宿区上落合１丁目,専属,"5,980万円",準工,92.4万円,落合パークファミリア,8階,3ＬＤＫ,公開中,"12,954円",305.3万円,西武新宿線　下落合,徒歩　1分,東急リバブル（株）　高田馬場センター,1978年（昭和53年） 3月,03-5291-1029
,100137062801,中古マンション,74.43㎡,東京都新宿区岩戸町,専任,"23,980万円",商業,322.2万円,ブリリアンコート神楽坂,9階,3ＬＤＫ,公開中,"14,800円","1,065.1万円",大江戸線　牛込神楽坂,徒歩　3分,東急リバブル（株）　飯田橋センター,2011年（平成23年） 8月,03-6867-1091
,100137073160,中古マンション,78.36㎡,東京都新宿区北新宿２丁目,売主,"13,880万円",近商,177.2万円,Ｉｔ’ｓ東京フォーサイトスクエア,8階,3ＬＤＫ,-,"12,430円",585.6万円,総武中央線　大久保,徒歩　8分,シーズクリエイト（株）,2001年（平成13年） 2月,03-6418-5097
,100136148192,中古マンション,64.28㎡,東京都新宿区新宿７丁目,売主,"7,990万円",商業,124.3万円,グランドメゾン戸山,3階,3ＬＤＫ,-,"14,900円",411.0万円,副都心線　東新宿,徒歩　1分,（株）マイプレイス,1983年（昭和58年） 7月,03-5652-8330
,100137057919,中古マンション,68.15㎡,東京都新宿区高田馬場４丁目,代理,"15,980万円",商業,234.5万円,パークシティ高田馬場,6階,3ＬＤＫ,-,"25,080円",775.2万円,山手線　高田馬場,徒歩　7分,三友サービス（株）,2025年（令和 7年） 5月,090-4189-9767
,100137049068,中古マンション,61.02㎡,東京都新宿区百人町２丁目,専任,"5,980万円",一住,98.1万円,大久保ハウス,5階,3ＤＫ,申込あり,"11,170円",324.0万円,総武中央線　大久保,徒歩　4分,住友不動産ステップ（株）　本社営業センター２課,1971年（昭和46年） 3月,050-3112-9915
,100135452406,新築マンション,73.24㎡,東京都新宿区高田馬場４丁目,一般,"18,480万円",商業,252.4万円,パークシティ高田馬場　手あり,7階,3ＬＤＫ,-,"26,950円",834.2万円,山手線　高田馬場,徒歩　7分,（株）ハレクラ,2025年（令和 7年） 5月,03-6820-3919
,100137067731,中古マンション,60.48㎡,東京都新宿区大久保２丁目,一般,"5,298万円",商業,87.6万円,新宿第三アルプスマンション,3階,3ＤＫ,-,"12,281円",289.6万円,副都心線　東新宿,徒歩　4分,三水商事㈱,1979年（昭和54年） 2月,070-2676-3192
,100135458770,新築マンション,73.24㎡,東京都新宿区高田馬場４丁目,一般,"18,480万円",商業,252.4万円,パークシティ高田馬場　手有り１パー,7階,3ＬＤＫ,-,"26,950円",834.2万円,山手線　高田馬場,徒歩　7分,（株）ハイアーグラウンド,2025年（令和 7年） 6月,070-1180-4051
,100136617787,中古マンション,73.91㎡,東京都新宿区四谷４丁目,売主,"35,800万円",商業,484.4万円,クラッシィタワー新宿御苑,24階,3ＬＤＫ,-,"38,060円","1,601.3万円",丸ノ内線　新宿御苑前,徒歩　4分,（株）長谷工リアルエステート　川口店,2024年（令和 6年）10月,070-4180-6652
,100133791420,中古マンション,84.35㎡,東京都新宿区市谷本村町,一般,"20,900万円",二住,247.8万円,ＴＨＥ　ＣＥＮＴＥＲ　ＴＯＫＹＯ,23階,3ＬＤＫ,-,"28,195円",819.1万円,都営新宿線　曙橋,徒歩　5分,（株）大京穴吹不動産　番町レジデンスサロン,2007年（平成19年）11月,03-6670-9177
,100135655918,中古マンション,70.00㎡,東京都新宿区若葉１丁目,一般,"26,500万円",一中,378.6万円,ピアース四谷Ｈｉｌｌｓ,4階,3ＬＤＫ,-,"37,900円","1,251.5万円",中央線　四ツ谷,徒歩　8分,（株）大京穴吹不動産　番町レジデンスサロン,2025年（令和 7年） 5月,03-6670-9177
,100135601217,中古マンション,81.18㎡,東京都新宿区西新宿４丁目,売主,"20,980万円",商業,258.5万円,シティタワー新宿新都心,23階,3ＬＤＫ,-,"32,800円",854.4万円,大江戸線　西新宿五丁目,徒歩　2分,（株）長谷工リアルエステート　練馬店,2005年（平成17年） 2月,03-5912-5313
,100136959263,中古マンション,70.20㎡,東京都新宿区下落合２丁目,専任,"13,500万円",一低,192.4万円,グランツオーベル目白近衛町,2階,3ＬＤＫ,公開中,"17,200円",635.8万円,山手線　目白,徒歩　6分,三井不動産リアルティ（株）三井のリハウス高田馬場センター,2001年（平成13年） 4月,03-3204-3131
,100136617786,中古マンション,144.78㎡,東京都新宿区下落合４丁目,売主,"24,500万円",一低,169.3万円,パレロワイヤル目白,2階,3ＬＤＫ,-,"66,900円",559.5万円,山手線　目白,徒歩　12分,（株）長谷工リアルエステート　阿佐ヶ谷店,1986年（昭和61年） 7月,03-5347-2909
,100136253043,中古マンション,72.38㎡,東京都新宿区下落合２丁目,売主,"17,290万円",一低,238.9万円,バウス目白御留山,3階,3ＬＤＫ,-,"22,300円",789.7万円,山手線　高田馬場,徒歩　9分,オークラヤ住宅（株）　新宿支社　営業第一部,2020年（令和 2年） 7月,03-6368-4960
,100136904720,中古マンション,102.39㎡,東京都新宿区下落合３丁目,売主,"7,998万円",一低,78.2万円,アビターレ目白,1階,3ＬＤＫ,-,"10,000円",258.3万円,山手線　目白,徒歩　10分,（株）理想デザイン,1982年（昭和57年） 4月,03-5843-5710
,100137057982,中古マンション,60.47㎡,東京都新宿区西早稲田１丁目,専任,"6,980万円",準工,115.5万円,フジタ早稲田マンション,3階,3ＬＤＫ,公開中,"12,090円",381.6万円,都電荒川線　早稲田,徒歩　4分,三井住友トラスト不動産（株）　新宿センター,1979年（昭和54年） 3月,03-5322-9721
,100137058038,中古マンション,70.05㎡,東京都新宿区富久町,専任,"21,980万円",商業,313.8万円,富久クロスコンフォートタワー,34階,3ＬＤＫ,公開中,"24,650円","1,037.3万円",丸ノ内線　新宿御苑前,徒歩　7分,野村不動産ソリューションズ（株）　麻布営業部,2015年（平成27年） 4月,03-5444-2281
,100134975140,新築マンション,82.52㎡,東京都新宿区高田馬場４丁目,一般,"21,980万円",商業,266.4万円,パークシティ高田馬場　手２．５,11階,3ＬＤＫ,-,"30,370円",880.6万円,東西線　高田馬場,徒歩　7分,（株）フクシマ建設,2025年（令和 7年） 6月,090-6860-1668
,100137051817,中古マンション,85.92㎡,東京都新宿区新宿７丁目,売主,"12,490万円",一住,145.4万円,プライムコート戸山,5階,4ＬＤＫ,-,"20,600円",480.6万円,大江戸線　東新宿,徒歩　4分,オークラヤ住宅（株）　新宿支社　営業第一部,2000年（平成12年） 2月,03-6368-4960
,100137053702,中古マンション,60.50㎡,東京都新宿区若松町,売主,"6,780万円",一中,112.1万円,近鉄ハイツ新宿,2階,3ＬＤＫ,-,"18,543円",370.5万円,大江戸線　若松河田,徒歩　7分,（株）エスフリー,1975年（昭和50年）10月,03-5962-3812
,100135728442,中古マンション,48.73㎡,東京都新宿区大久保３丁目,専任 オーナーチェンジ,"3,500万円",一住,71.9万円,西大久保ローヤルコーポ,1階,3ＤＫ,公開中,"12,800円",237.5万円,副都心線　西早稲田,徒歩　7分,東急リバブル（株）　上野センター,1976年（昭和51年） 8月,03-3834-6131
,100136626064,中古マンション,68.42㎡,東京都新宿区西五軒町,売主,"16,300万円",準工,238.3万円,プレミスト神楽坂,4階,3ＬＤＫ,-,"16,420円",787.6万円,東西線　神楽坂,徒歩　5分,（株）日本クオリティーエステート,2012年（平成24年） 1月,03-6427-2015
,100135662526,中古マンション,70.83㎡,東京都新宿区高田馬場４丁目,専任,"17,700万円",商業,249.9万円,パークシティ高田馬場,5階,3ＬＤＫ,公開中,"26,070円",826.1万円,山手線　高田馬場,徒歩　7分,三井不動産リアルティ（株）三井のリハウス赤坂センター,2025年（令和 7年） 5月,03-5575-3631
,100136722530,中古マンション,81.57㎡,東京都新宿区百人町３丁目,専任,"9,800万円",一中,120.2万円,ＴＨＥパームス西戸山,2階,4ＬＤＫ,公開中,"22,800円",397.2万円,総武中央線　大久保,徒歩　6分,（株）Ｍｙ不動産,1996年（平成 8年） 8月,080-3931-9493
,100137044098,中古マンション,65.48㎡,東京都新宿区原町１丁目,売主,"6,090万円",一住,93.1万円,牛込ハイマンション,10階,3ＬＤＫ,-,"11,900円",307.5万円,大江戸線　牛込柳町,徒歩　1分,（株）アイ・エヌ・ジー,1970年（昭和45年）10月,09066253962
,100136985658,中古マンション,75.22㎡,東京都新宿区白銀町,専任,"21,980万円",二中,292.3万円,神楽坂トワイシアヒルサイドレジデンス,5階,3ＬＤＫ,公開中,"10,500円",966.0万円,東西線　神楽坂,徒歩　4分,野村不動産ソリューションズ（株）　飯田橋センター,2004年（平成16年） 2月,03-5226-0281
,100136875716,中古マンション,66.08㎡,東京都新宿区上落合３丁目,専任,"9,980万円",近商,151.1万円,落合シティタワー,3階,3ＬＤＫ,公開中,"14,220円",499.3万円,東西線　落合,徒歩　2分,野村不動産ソリューションズ（株）　本店営業部,1999年（平成11年） 3月,03-3345-0344
,100134333765,中古マンション,184.62㎡,東京都新宿区払方町,売主,"35,990万円",二中,195.0万円,ヴァンセット払方　平置Ｐ付,3階,4ＬＤＫ,-,"36,840円",644.5万円,総武中央線　市ケ谷,徒歩　7分,（株）ＬｏｇＳｕｉｔｅ,1989年（平成 1年）10月,03-6910-5322
,100135569776,中古マンション,115.18㎡,東京都新宿区南山伏町,売主,"16,990万円",商業,147.6万円,ウィンコート神楽坂,5階,3ＬＤＫ,-,"32,300円",487.7万円,大江戸線　牛込神楽坂,徒歩　6分,（株）ＬｏｇＳｕｉｔｅ,1989年（平成 1年） 2月,03-6910-5322
,100135611495,中古マンション,131.21㎡,東京都新宿区西新宿６丁目,売主,"34,990万円",商業,266.7万円,アトラスタワー西新宿,27階,4ＬＤＫ,-,"41,430円",881.6万円,丸ノ内線　西新宿,徒歩　7分,（株）ＬｏｇＳｕｉｔｅ,2006年（平成18年）10月,03-6910-5322
,100136233259,新築マンション,80.70㎡,東京都新宿区西新宿５丁目,一般,"28,000万円",商業,347.0万円,パークタワー西新宿,18階,3ＬＤＫ,-,"36,310円","1,147.0万円",大江戸線　西新宿五丁目,徒歩　6分,ＭＩＸ　ＪＡＰＡＮ（株）,2025年（令和 7年） 3月,080-4333-8813
,100136666781,中古マンション,100.57㎡,東京都新宿区北新宿２丁目,売主,"13,598万円",一中,135.3万円,クレッセント新宿柏木,1階,3ＬＤＫ,-,"19,500円",447.0万円,総武中央線　大久保,徒歩　8分,（株）リアークスファインド,2002年（平成14年） 2月,090-7877-4409
,100136835097,中古マンション,59.28㎡,東京都新宿区下落合４丁目,専任,"6,480万円",一住,109.4万円,藤和シティホームズ下落合,2階,3ＤＫ,申込あり,"18,600円",361.4万円,西武新宿線　下落合,徒歩　4分,住友不動産ステップ（株）　本社営業センター２課,1998年（平成10年） 1月,050-3112-9915
,100136398495,中古マンション,73.24㎡,東京都新宿区高田馬場４丁目,一般,"15,480万円",商業,211.4万円,パークシティ高田馬場,1階,3ＬＤＫ,-,確認中,698.8万円,山手線　高田馬場,徒歩　7分,（株）大京穴吹不動産　新宿店,2025年（令和 7年） 3月,03-5909-7501
,100137035035,中古マンション,89.45㎡,東京都新宿区南榎町,売主,"17,990万円",一中,201.2万円,神楽坂パークハウス,5階,3ＬＤＫ,-,"30,510円",664.9万円,東西線　神楽坂,徒歩　8分,グローバルベイス（株）,2002年（平成14年）12月,03-6416-4915
,100137034787,中古マンション,72.43㎡,東京都新宿区新宿５丁目,専任,"4,750万円",商業,65.6万円,青木ビル,4階,3ＬＤＫ,公開中,"19,660円",216.8万円,都営新宿線　新宿三丁目,徒歩　5分,（株）東京みらい不動産,1966年（昭和41年） 9月,03-6457-8925
,100136614851,中古マンション,74.63㎡,東京都新宿区払方町,専属,"18,000万円",一中,241.2万円,ジオ市ヶ谷払方町　彩の館,3階,3ＬＤＫ,公開中,"18,800円",797.4万円,大江戸線　牛込神楽坂,徒歩　6分,東急リバブル（株）　グランタクト市ヶ谷,2012年（平成24年） 9月,03-6862-3109
,100134044357,新築マンション,79.14㎡,東京都新宿区四谷４丁目,一般,"33,500万円",商業,423.4万円,手有　クラッシィタワー新宿御苑,,3ＬＤＫ,-,"40,200円","1,399.4万円",丸ノ内線　新宿御苑前,徒歩　4分,（株）誠豊国際,2024年（令和 6年）11月,090-7025-2615
,100136362016,中古マンション,73.24㎡,東京都新宿区高田馬場４丁目,一般,"15,480万円",商業,211.4万円,パークシティ高田馬場,1階,3ＬＤＫ,-,"26,950円",698.8万円,山手線　高田馬場,徒歩　7分,三井不動産リアルティ（株）三井のリハウス渋谷センター,2025年（令和 7年） 3月,03-6332-7810
,100136571598,中古マンション,73.24㎡,東京都新宿区高田馬場４丁目,一般,"15,480万円",一住,211.4万円,パークシティ高田馬場,1階,3ＬＤＫ,-,"26,950円",698.8万円,山手線　高田馬場,徒歩　7分,（株）ＬｉＰｒｏ,2025年（令和 7年） 5月,03-6205-8438
,100136250187,中古マンション,79.67㎡,東京都新宿区納戸町,専任 オーナーチェンジ,"12,800万円",二住,160.7万円,エスナ市ヶ谷,2階,3ＬＤＫ,公開中,"20,710円",531.2万円,大江戸線　牛込神楽坂,徒歩　6分,住友不動産ステップ（株）　本社マンションプラザ,1997年（平成 9年） 6月,050-3112-9913
,100136941261,中古マンション,70.00㎡,東京都新宿区北新宿２丁目,売主,"11,990万円",一中,171.3万円,ＩＴ’Ｓ東京フォーサイトスクエア２０６,2階,3ＬＤＫ,-,"11,110円",566.3万円,総武中央線　大久保,徒歩　8分,グローバルベイス（株）,2001年（平成13年） 2月,080-4190-7463
,100136846945,中古マンション,66.00㎡,東京都新宿区北新宿４丁目,専任,"10,500万円",二中,159.1万円,プレシス新宿柏木,3階,3ＬＤＫ,公開中,"17,490円",526.0万円,総武中央線　東中野,徒歩　8分,野村不動産ソリューションズ（株）　本店営業部,2015年（平成27年） 9月,03-3345-0386
,100136635256,新築マンション,71.88㎡,東京都新宿区四谷４丁目,売主,"29,000万円",商業,403.5万円,クラッシィタワー新宿御苑,15階,3ＬＤＫ,-,"14,120円","1,333.8万円",丸ノ内線　四谷三丁目,徒歩　7分,三興地所（株）,2025年（令和 7年） 4月,08041628878
,100137022548,中古マンション,76.59㎡,東京都新宿区若松町,売主,"19,800万円",一住,258.6万円,パークホームズ新宿若松町,11階,3ＬＤＫ,-,"21,670円",854.7万円,大江戸線　若松河田,徒歩　1分,（株）エンリード不動産,2003年（平成15年）11月,050-5783-2134
,100137020949,中古マンション,59.92㎡,東京都新宿区新小川町,売主,"7,599万円",商業,126.9万円,飯田橋第２パークファミリア,9階,3ＬＤＫ,-,"9,130円",419.3万円,総武中央線　飯田橋,徒歩　10分,（株）住ｉｎｇ　新宿支店,1980年（昭和55年） 2月,03-6258-0663
,100137020923,中古マンション,60.22㎡,東京都新宿区新小川町,売主,"7,499万円",商業,124.6万円,飯田橋第２パークファミリア,8階,3ＬＤＫ,-,"9,170円",411.7万円,総武中央線　飯田橋,徒歩　10分,（株）住ｉｎｇ　新宿支店,1980年（昭和55年） 2月,03-6258-0663
,100137020504,中古マンション,90.99㎡,東京都新宿区西新宿５丁目,売主,"32,888万円",商業,361.5万円,パークタワー西新宿,39階,3ＬＤＫ,-,"40,590円","1,194.9万円",丸ノ内線　西新宿,徒歩　10分,ＳＲＥホールディングス（株）　新宿オフィス,2024年（令和 6年）11月,070-3397-7894
,100137020319,中古マンション,73.00㎡,東京都新宿区余丁町,代理 オーナーチェンジ,"14,800万円",一中,202.8万円,ブリリア新宿余丁町　てすうりょうあり,2階,3ＬＤＫ,-,"16,400円",670.3万円,大江戸線　若松河田,徒歩　5分,（株）エステート・ワン,2007年（平成19年） 7月,03-5826-4777
,100134110076,中古マンション,92.79㎡,東京都新宿区大久保２丁目,売主,"9,780万円",商業,105.4万円,新宿スカイプラザ,,3ＳＬＤＫ,-,"20,070円",348.5万円,副都心線　東新宿,徒歩　4分,（株）西住通センター,1971年（昭和46年） 8月,045-335-4578
,100137018335,中古マンション,80.94㎡,東京都新宿区西早稲田３丁目,売主,"11,980万円",商業,148.1万円,ヴィルヌーブ西早稲田,14階,3ＬＤＫ,-,"18,130円",489.3万円,副都心線　西早稲田,徒歩　10分,花菱不動産（株）,1998年（平成10年） 1月,080-3210-9509
,100136273539,中古マンション,70.12㎡,東京都新宿区富久町,専任,"19,800万円",商業,282.4万円,富久クロス　コンフォートタワー,19階,3ＬＤＫ,公開中,"26,560円",933.5万円,丸ノ内線　新宿御苑前,徒歩　7分,大成有楽不動産（株）,2015年（平成27年） 4月,03-3567-4543
,100135713539,中古マンション,82.52㎡,東京都新宿区高田馬場４丁目,一般,"21,980万円",商業,266.4万円,パークシティ高田馬場　２手有,,3ＬＤＫ,-,"30,370円",880.6万円,山手線　高田馬場,徒歩　7分,Ｒアセスメント（同）,2025年（令和 7年） 6月,03-6823-8423
,100137008317,中古マンション,89.34㎡,東京都新宿区新宿６丁目,売主,"13,980万円",二住,156.5万円,エバーグリーンパレス新宿,5階,3ＬＤＫ,-,"33,611円",517.3万円,大江戸線　東新宿,徒歩　3分,（株）ジェクトワン,1995年（平成 7年） 2月,03-6427-9830
,100136950251,中古マンション,75.84㎡,東京都新宿区富久町,売主,"25,980万円",商業,342.6万円,富久クロスコンフォートタワー３４階,34階,3ＬＤＫ,-,"28,560円","1,132.5万円",丸ノ内線　新宿御苑前,徒歩　8分,（株）リオ・トラスト,2015年（平成27年） 4月,03-5227-5061
,100136974908,中古マンション,79.08㎡,東京都新宿区神楽坂５丁目,専任 オーナーチェンジ,"11,080万円",商業,140.2万円,神楽坂アインスタワー,19階,3ＬＤＫ,公開中,"21,990円",463.2万円,大江戸線　牛込神楽坂,徒歩　3分,近鉄不動産（株）　新宿営業所,2003年（平成15年） 1月,03-5312-7621
,100136892743,中古マンション,78.74㎡,東京都新宿区南町,専任,"19,990万円",一中,253.9万円,ディアパーク市ヶ谷南町,5階,3ＬＤＫ,公開中,"14,970円",839.3万円,大江戸線　牛込神楽坂,徒歩　7分,野村不動産ソリューションズ（株）　中野センター,1997年（平成 9年） 2月,03-5318-5141
,100136666821,中古マンション,70.40㎡,東京都新宿区西早稲田３丁目,専任,"12,980万円",商業,184.4万円,シェフルール西早稲田ラヴィーナ,9階,3ＬＤＫ,公開中,"18,160円",609.6万円,山手線　高田馬場,徒歩　10分,野村不動産ソリューションズ（株）　高田馬場センター,2015年（平成27年） 7月,03-5348-5691
,100135472404,中古マンション,71.18㎡,東京都新宿区北新宿３丁目,専任 オーナーチェンジ,"11,800万円",商業,165.8万円,ザ・パークハウス新宿柏木,9階,3ＬＤＫ,公開中,"13,100円",548.1万円,総武中央線　大久保,徒歩　3分,東鵬商事（株）,2012年（平成24年） 2月,03-5331-3666
,100136941857,中古マンション,106.96㎡,東京都新宿区西新宿６丁目,一般,"30,000万円",商業,280.5万円,コンシェリア西新宿ＴＯＷＥＲ’Ｓ　ＷＥＳＴ,42階,3ＬＤＫ,-,"42,400円",927.3万円,大江戸線　西新宿五丁目,徒歩　7分,野村不動産ソリューションズ（株）　麻布営業部,2008年（平成20年） 4月,03-5444-2281
,100136373465,中古マンション,76.46㎡,東京都新宿区西新宿５丁目,専任,"18,490万円",商業,241.9万円,ザ・パークハウス西新宿タワー６０,38階,3ＬＤＫ,公開中,"22,970円",799.5万円,丸ノ内線　西新宿,徒歩　9分,野村不動産ソリューションズ（株）　本店営業部,2017年（平成29年） 8月,03-3345-0386
,100136966740,中古マンション,70.08㎡,東京都新宿区四谷三栄町,一般,"23,980万円",近商,342.2万円,プレミスト四谷　カレントコート,3階,3ＬＤＫ,-,"22,496円","1,131.2万円",南北線　四ツ谷,徒歩　4分,三井不動産リアルティ（株）三井のリハウス四谷センター,2013年（平成25年） 6月,03-5368-3831
,100136197882,中古マンション,75.23㎡,東京都新宿区南元町,専任,"17,900万円",二中,238.0万円,Ｂｒｉｌｌｉａ外苑出羽坂,4階,3ＬＤＫ,申込あり,"13,390円",786.6万円,総武中央線　信濃町,徒歩　6分,三井不動産リアルティ（株）三井のリハウス四谷センター,2006年（平成18年） 2月,03-5368-3831
,100136979839,中古マンション,85.40㎡,東京都新宿区南元町,売主,"11,280万円",二住,132.1万円,信濃町ハイム,9階,3ＬＤＫ,-,"23,219円",436.7万円,総武中央線　信濃町,徒歩　7分,（株）朝日・マンション住替センター,1978年（昭和53年） 3月,080-4170-9028
,100134788819,中古マンション,60.48㎡,東京都新宿区大久保２丁目,一般,"5,298万円",商業,87.6万円,新宿第三アルプスマンション,3階,3ＬＤＫ,-,"16,039円",289.6万円,副都心線　東新宿,徒歩　4分,（株）ランドアーク,1979年（昭和54年） 6月,070-4797-1777
,100136569879,中古マンション,107.12㎡,東京都新宿区中落合２丁目,売主,"10,480万円",一中,97.9万円,中落合シティハウス,3階,3ＬＤＫ,-,"31,300円",323.5万円,西武新宿線　下落合,徒歩　9分,（株）日本クオリティーエステート,1979年（昭和54年）12月,03-6427-2015
,100135741387,中古マンション,259.42㎡,東京都新宿区市谷砂土原町２丁目,専任,"150,000万円",二中,578.3万円,クレストコート砂土原,4階,4ＬＤＫ,公開中,"63,500円","1,911.5万円",有楽町線　市ケ谷,徒歩　4分,住友不動産ステップ（株）　日本橋マンションプラザ,1987年（昭和62年）12月,050-3112-9831
,100136533667,中古マンション,71.90㎡,東京都新宿区高田馬場４丁目,一般,"23,800万円",商業,331.1万円,パークシティ高田馬場,9階,3ＬＤＫ,-,"26,460円","1,094.3万円",山手線　高田馬場,徒歩　7分,（株）５３０３,2025年（令和 7年） 5月,03-5846-8853
,100136973924,新築マンション,116.14㎡,東京都新宿区四谷４丁目,専属,"64,980万円",定めなし,559.5万円,クラッシィタワー新宿御苑,,3ＬＤＫ,公開中,"71,070円","1,849.6万円",丸ノ内線　新宿御苑前,徒歩　4分,（株）ＭＰＣコーポレーション,2024年（令和 6年）11月,03-5972-4601
,100136972990,中古マンション,59.92㎡,東京都新宿区新小川町,売主,"7,590万円",商業,126.7万円,飯田橋第２パークファミリア,6階,3ＬＤＫ,-,"9,130円",418.8万円,総武中央線　飯田橋,徒歩　10分,（株）マイプレイス,1980年（昭和55年） 2月,03-5652-8330
,100134948078,中古マンション,72.02㎡,東京都新宿区南榎町,専任,"15,980万円",一中,221.9万円,神楽坂パークハウス,3階,3ＬＤＫ,公開中,"22,960円",733.5万円,東西線　神楽坂,徒歩　8分,日信興業（株）,2002年（平成14年）12月,03-3261-6261
