差分ID,物件番号,差分検出日,更新フィールド,更新前,更新後
20251214_3062,100136354935,2025-12-14,築年月,2015年（平成27年） 9月,2015年（平成27年） 9月
20251214_3063,100136355626,2025-12-14,築年月,1997年（平成 9年） 3月,1997年（平成 9年） 3月
20251214_3064,100136355627,2025-12-14,築年月,2005年（平成17年） 2月,2005年（平成17年） 2月
20251214_3065,100136356088,2025-12-14,築年月,1996年（平成 8年） 3月,1996年（平成 8年） 3月
20251214_3066,100136357042,2025-12-14,築年月,1982年（昭和57年） 6月,1982年（昭和57年） 6月
20251214_3067,100136357053,2025-12-14,築年月,2005年（平成17年） 1月,2005年（平成17年） 1月
20251214_3068,100136357231,2025-12-14,築年月,2009年（平成21年） 1月,2009年（平成21年） 1月
20251214_3069,100136357804,2025-12-14,築年月,1988年（昭和63年） 6月,1988年（昭和63年） 6月
20251214_3070,100136358395,2025-12-14,築年月,1989年（平成 1年） 1月,1989年（平成 1年） 1月
20251214_3071,100136359690,2025-12-14,築年月,2013年（平成25年） 1月,2013年（平成25年） 1月
20251214_3072,100136359696,2025-12-14,築年月,2002年（平成14年） 2月,2002年（平成14年） 2月
20251214_3073,100136359697,2025-12-14,築年月,2021年（令和 3年）11月,2021年（令和 3年）11月
20251214_3074,100136359703,2025-12-14,築年月,2003年（平成15年） 1月,2003年（平成15年） 1月
20251214_3075,100136359706,2025-12-14,築年月,1997年（平成 9年） 4月,1997年（平成 9年） 4月
20251214_3076,100136360791,2025-12-14,築年月,2023年（令和 5年） 8月,2023年（令和 5年） 8月
20251214_3077,100136361999,2025-12-14,築年月,1979年（昭和54年） 1月,1979年（昭和54年） 1月
20251214_3078,100136362016,2025-12-14,築年月,2025年（令和 7年） 3月,2025年（令和 7年） 3月
20251214_3079,100136363897,2025-12-14,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251214_3080,100136365388,2025-12-14,築年月,1999年（平成11年） 1月,1999年（平成11年） 1月
20251214_3081,100136365574,2025-12-14,築年月,2010年（平成22年） 8月,2010年（平成22年） 8月
20251214_3082,100136365577,2025-12-14,築年月,2019年（平成31年） 1月,2019年（平成31年） 1月
20251214_3083,100136366480,2025-12-14,築年月,1984年（昭和59年） 6月,1984年（昭和59年） 6月
20251214_3084,100136367029,2025-12-14,築年月,1982年（昭和57年） 7月,1982年（昭和57年） 7月
20251214_3085,100136367141,2025-12-14,築年月,2011年（平成23年） 5月,2011年（平成23年） 5月
20251214_3086,100136367247,2025-12-14,築年月,2020年（令和 2年） 7月,2000年（平成12年） 8月
20251214_3087,100136367396,2025-12-14,築年月,1971年（昭和46年） 4月,1971年（昭和46年） 4月
20251214_3088,100136367952,2025-12-14,築年月,2011年（平成23年） 5月,2011年（平成23年） 5月
20251214_3089,100136367960,2025-12-14,築年月,2014年（平成26年） 1月,2014年（平成26年） 1月
20251214_3090,100136367965,2025-12-14,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251214_3091,100136368478,2025-12-14,築年月,2002年（平成14年） 2月,2002年（平成14年） 2月
20251214_3092,100136368983,2025-12-14,築年月,2019年（令和 1年） 7月,2019年（令和 1年） 7月
20251214_3093,100136368989,2025-12-14,築年月,2014年（平成26年） 5月,2014年（平成26年） 5月
20251214_3094,100136369767,2025-12-14,築年月,1974年（昭和49年） 6月,1974年（昭和49年） 6月
20251214_3095,100136369826,2025-12-14,築年月,2005年（平成17年） 2月,2005年（平成17年） 2月
20251214_3096,100136369871,2025-12-14,築年月,1983年（昭和58年） 6月,1983年（昭和58年） 6月
20251214_3097,100136370773,2025-12-14,築年月,1992年（平成 4年） 4月,1992年（平成 4年） 4月
20251214_3098,100136370927,2025-12-14,築年月,2025年（令和 7年） 7月,2025年（令和 7年） 7月
20251214_3099,100136371654,2025-12-14,築年月,2012年（平成24年） 5月,2012年（平成24年） 5月
20251214_3100,100136371675,2025-12-14,築年月,2025年（令和 7年） 9月,2025年（令和 7年） 9月
20251214_3101,100136371753,2025-12-14,築年月,2000年（平成12年） 6月,2000年（平成12年） 6月
20251214_3102,100136371845,2025-12-14,築年月,1981年（昭和56年） 3月,1981年（昭和56年） 3月
20251214_3103,100136372140,2025-12-14,築年月,2025年（令和 7年） 8月,2025年（令和 7年） 8月
20251214_3104,100136373228,2025-12-14,築年月,2025年（令和 7年） 5月,2025年（令和 7年） 5月
20251214_3105,100136373268,2025-12-14,築年月,1977年（昭和52年） 5月,1977年（昭和52年） 5月
20251214_3106,100136373464,2025-12-14,築年月,2020年（令和 2年） 2月,2020年（令和 2年） 2月
20251214_3107,100136373465,2025-12-14,築年月,2017年（平成29年） 8月,2017年（平成29年） 8月
20251214_3108,100136373466,2025-12-14,築年月,2021年（令和 3年） 2月,2021年（令和 3年） 2月
20251214_3109,100136375411,2025-12-14,築年月,1982年（昭和57年） 3月,1982年（昭和57年） 3月
20251214_3110,100136378979,2025-12-14,築年月,2008年（平成20年） 1月,2008年（平成20年） 1月
20251214_3111,100136379707,2025-12-14,築年月,1998年（平成10年） 2月,1998年（平成10年） 2月
20251214_3112,100136379783,2025-12-14,築年月,2003年（平成15年） 3月,2003年（平成15年） 3月
20251214_3113,100136380713,2025-12-14,築年月,2002年（平成14年） 4月,2002年（平成14年） 4月
20251214_3114,100136384469,2025-12-14,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251214_3115,100136384470,2025-12-14,築年月,2021年（令和 3年）12月,2021年（令和 3年）12月
20251214_3116,100136384573,2025-12-14,築年月,1983年（昭和58年） 4月,1983年（昭和58年） 4月
20251214_3117,100136384593,2025-12-14,㎡単価,297.7万円,292.9万円
20251214_3117,100136384593,2025-12-14,価格,"19,800万円","19,480万円"
20251214_3117,100136384593,2025-12-14,坪単価,983.9万円,968.0万円
20251214_3117,100136384593,2025-12-14,築年月,2006年（平成18年） 8月,2006年（平成18年） 8月
20251214_3118,100136387468,2025-12-14,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251214_3119,100136387510,2025-12-14,築年月,1979年（昭和54年） 8月,1979年（昭和54年） 8月
20251214_3120,100136387516,2025-12-14,築年月,2004年（平成16年） 2月,2004年（平成16年） 2月
20251214_3121,100136387545,2025-12-14,築年月,2003年（平成15年） 1月,2003年（平成15年） 1月
20251214_3122,100136388110,2025-12-14,築年月,1995年（平成 7年） 8月,1995年（平成 7年） 8月
20251214_3123,100136390066,2025-12-14,築年月,2023年（令和 5年） 2月,2023年（令和 5年） 2月
20251214_3124,100136390093,2025-12-14,築年月,2014年（平成26年） 2月,2014年（平成26年） 2月
20251214_3125,100136390110,2025-12-14,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251214_3126,100136390434,2025-12-14,築年月,2005年（平成17年） 8月,2005年（平成17年） 8月
20251214_3127,100136390466,2025-12-14,築年月,2013年（平成25年） 3月,2013年（平成25年） 3月
20251214_3128,100136390559,2025-12-14,築年月,2023年（令和 5年） 8月,2023年（令和 5年） 8月
20251214_3129,100136390585,2025-12-14,築年月,2023年（令和 5年） 8月,2023年（令和 5年） 8月
20251214_3130,100136390595,2025-12-14,築年月,2025年（令和 7年） 8月,2025年（令和 7年） 8月
20251214_3131,100136390704,2025-12-14,築年月,2018年（平成30年） 1月,2018年（平成30年） 1月
20251214_3132,100136391194,2025-12-14,築年月,1995年（平成 7年） 2月,1995年（平成 7年） 2月
20251214_3133,100136391333,2025-12-14,築年月,2002年（平成14年） 9月,2002年（平成14年） 9月
20251214_3134,100136391506,2025-12-14,築年月,1983年（昭和58年） 7月,1983年（昭和58年） 7月
20251214_3135,100136391540,2025-12-14,築年月,2024年（令和 6年） 9月,2024年（令和 6年） 9月
20251214_3136,100136392543,2025-12-14,築年月,2022年（令和 4年） 1月,2022年（令和 4年） 1月
20251214_3137,100136392548,2025-12-14,築年月,1979年（昭和54年） 8月,1979年（昭和54年） 8月
20251214_3138,100136392754,2025-12-14,築年月,1980年（昭和55年） 1月,1980年（昭和55年） 1月
20251214_3139,100136392972,2025-12-14,築年月,2020年（令和 2年）11月,2020年（令和 2年）11月
20251214_3140,100136392990,2025-12-14,築年月,1984年（昭和59年） 7月,1984年（昭和59年） 7月
20251214_3141,100136393066,2025-12-14,築年月,2006年（平成18年） 9月,2006年（平成18年） 9月
20251214_3142,100136393179,2025-12-14,築年月,1979年（昭和54年） 8月,1979年（昭和54年） 8月
20251214_3143,100136393191,2025-12-14,築年月,2014年（平成26年） 7月,2014年（平成26年） 7月
20251214_3144,100136393245,2025-12-14,築年月,1999年（平成11年） 7月,1999年（平成11年） 7月
20251214_3145,100136393690,2025-12-14,築年月,2007年（平成19年） 8月,2007年（平成19年） 8月
20251214_3146,100136393718,2025-12-14,築年月,2008年（平成20年） 1月,2008年（平成20年） 1月
20251214_3147,100136394668,2025-12-14,築年月,2023年（令和 5年）10月,2023年（令和 5年）10月
20251214_3148,100136394729,2025-12-14,築年月,2025年（令和 7年） 9月,2025年（令和 7年） 9月
20251214_3149,100136394777,2025-12-14,築年月,1979年（昭和54年） 6月,1979年（昭和54年） 6月
20251214_3150,100136395105,2025-12-14,築年月,1986年（昭和61年） 2月,1986年（昭和61年） 2月
20251214_3151,100136395697,2025-12-14,築年月,2011年（平成23年） 1月,2011年（平成23年） 1月
20251214_3152,100136395745,2025-12-14,築年月,1979年（昭和54年） 1月,1979年（昭和54年） 1月
20251214_3153,100136396037,2025-12-14,築年月,1975年（昭和50年） 6月,1975年（昭和50年） 6月
20251214_3154,100136396101,2025-12-14,築年月,1968年（昭和43年） 4月,1968年（昭和43年） 4月
20251214_3155,100136396412,2025-12-14,築年月,2014年（平成26年） 5月,2014年（平成26年） 5月
20251214_3156,100136396491,2025-12-14,築年月,1992年（平成 4年） 1月,1992年（平成 4年） 1月
20251214_3157,100136396529,2025-12-14,築年月,2008年（平成20年） 7月,2008年（平成20年） 7月
20251214_3158,100136396654,2025-12-14,築年月,1987年（昭和62年） 7月,1987年（昭和62年） 7月
20251214_3159,100136397162,2025-12-14,築年月,1970年（昭和45年） 9月,1970年（昭和45年） 9月
20251214_3160,100136397304,2025-12-14,築年月,2016年（平成28年） 2月,2016年（平成28年） 2月
20251214_3161,100136397380,2025-12-14,築年月,2019年（令和 1年） 5月,2019年（令和 1年） 5月
20251214_3162,100136398265,2025-12-14,築年月,2005年（平成17年） 2月,2005年（平成17年） 2月
20251214_3163,100136398495,2025-12-14,築年月,2025年（令和 7年） 3月,2025年（令和 7年） 3月
20251214_3164,100136398956,2025-12-14,築年月,2024年（令和 6年）11月,2024年（令和 6年）11月
20251214_3165,100136399015,2025-12-14,築年月,1988年（昭和63年） 4月,1988年（昭和63年） 4月
20251214_3166,100136399228,2025-12-14,築年月,1984年（昭和59年） 9月,1984年（昭和59年） 9月
20251214_3167,100136399230,2025-12-14,築年月,2020年（令和 2年） 7月,2020年（令和 2年） 7月
20251214_3168,100136400062,2025-12-14,築年月,2005年（平成17年） 2月,2005年（平成17年） 2月
20251214_3169,100136401691,2025-12-14,築年月,1980年（昭和55年） 8月,1980年（昭和55年） 8月
20251214_3170,100136402154,2025-12-14,築年月,1978年（昭和53年） 6月,1978年（昭和53年） 6月
20251214_3171,100136402289,2025-12-14,築年月,1972年（昭和47年） 9月,1972年（昭和47年） 9月
20251214_3172,100136402598,2025-12-14,築年月,1983年（昭和58年） 7月,1983年（昭和58年） 7月
20251214_3173,100136403202,2025-12-14,築年月,2022年（令和 4年） 7月,2022年（令和 4年） 7月
20251214_3174,100136403467,2025-12-14,築年月,1980年（昭和55年） 8月,1980年（昭和55年） 8月
20251214_3175,100136403483,2025-12-14,築年月,2015年（平成27年） 9月,2015年（平成27年） 9月
20251214_3176,100136403505,2025-12-14,築年月,2025年（令和 7年） 9月,2025年（令和 7年） 9月
20251214_3177,100136403964,2025-12-14,築年月,1980年（昭和55年） 1月,1980年（昭和55年） 1月
20251214_3178,100136404741,2025-12-14,築年月,2013年（平成25年） 2月,2013年（平成25年） 2月
20251214_3179,100136405497,2025-12-14,築年月,1978年（昭和53年） 1月,1978年（昭和53年） 1月
20251214_3180,100136405703,2025-12-14,築年月,2025年（令和 7年） 9月,2025年（令和 7年） 9月
20251214_3181,100136405843,2025-12-14,築年月,2014年（平成26年） 2月,2014年（平成26年） 2月
20251214_3182,100136405945,2025-12-14,築年月,1991年（平成 3年） 8月,1991年（平成 3年） 8月
20251214_3183,100136405992,2025-12-14,築年月,1997年（平成 9年） 4月,1997年（平成 9年） 4月
20251214_3184,100136406003,2025-12-14,築年月,2019年（令和 1年） 9月,2019年（令和 1年） 9月
20251214_3185,100136406305,2025-12-14,築年月,1980年（昭和55年） 1月,1980年（昭和55年） 1月
20251214_3186,100136406642,2025-12-14,築年月,1988年（昭和63年） 6月,1988年（昭和63年） 6月
20251214_3187,100136406897,2025-12-14,取引態様,一般 オーナーチェンジ,一般
20251214_3187,100136406897,2025-12-14,築年月,1981年（昭和56年） 7月,1981年（昭和56年） 7月
20251214_3188,100136407123,2025-12-14,築年月,1970年（昭和45年） 7月,1970年（昭和45年） 7月
20251214_3189,100136407354,2025-12-14,築年月,1990年（平成 2年） 9月,1990年（平成 2年） 9月
20251214_3190,100136407629,2025-12-14,築年月,2013年（平成25年） 7月,2013年（平成25年） 7月
20251214_3191,100136407708,2025-12-14,築年月,2025年（令和 7年） 1月,2025年（令和 7年） 1月
20251214_3192,100136408101,2025-12-14,築年月,1999年（平成11年） 3月,1999年（平成11年） 3月
20251214_3193,100136408443,2025-12-14,築年月,2008年（平成20年） 1月,2008年（平成20年） 1月
20251214_3194,100136408609,2025-12-14,築年月,2024年（令和 6年）11月,2024年（令和 6年）11月
20251214_3195,100136408947,2025-12-14,築年月,1979年（昭和54年） 9月,1979年（昭和54年） 9月
20251214_3196,100136409022,2025-12-14,築年月,1995年（平成 7年）10月,1995年（平成 7年）10月
20251214_3197,100136409144,2025-12-14,築年月,2023年（令和 5年）11月,2023年（令和 5年）11月
20251214_3198,100136409184,2025-12-14,築年月,2025年（令和 7年） 6月,2025年（令和 7年） 6月
20251214_3199,100136409238,2025-12-14,築年月,2025年（令和 7年） 6月,2025年（令和 7年） 6月
20251214_3200,100136409916,2025-12-14,築年月,1985年（昭和60年） 1月,1985年（昭和60年） 1月
20251214_3201,100136409969,2025-12-14,築年月,2014年（平成26年） 5月,2014年（平成26年） 5月
20251214_3202,100136410019,2025-12-14,築年月,2004年（平成16年） 4月,2004年（平成16年） 4月
20251214_3203,100136410063,2025-12-14,築年月,2005年（平成17年） 2月,2005年（平成17年） 2月
20251214_3204,100136410181,2025-12-14,築年月,2003年（平成15年） 7月,2003年（平成15年） 7月
20251214_3205,100136410323,2025-12-14,築年月,2025年（令和 7年） 4月,2025年（令和 7年） 4月
20251214_3206,100136411093,2025-12-14,築年月,2018年（平成30年） 5月,2018年（平成30年） 5月
20251214_3207,100136411174,2025-12-14,築年月,1983年（昭和58年） 4月,1983年（昭和58年） 4月
20251214_3208,100136411239,2025-12-14,築年月,2002年（平成14年） 5月,2002年（平成14年） 5月
20251214_3209,100136411425,2025-12-14,築年月,1993年（平成 5年） 2月,1993年（平成 5年） 2月
20251214_3210,100136411893,2025-12-14,築年月,1969年（昭和44年） 1月,1969年（昭和44年） 1月
20251214_3211,100136411992,2025-12-14,築年月,1970年（昭和45年） 7月,1970年（昭和45年） 7月
20251214_3212,100136412332,2025-12-14,築年月,2002年（平成14年） 2月,2002年（平成14年） 2月
20251214_3213,100136412939,2025-12-14,築年月,1982年（昭和57年） 1月,1982年（昭和57年） 1月
20251214_3214,100136412965,2025-12-14,築年月,1983年（昭和58年） 1月,1983年（昭和58年） 1月
20251214_3215,100136413930,2025-12-14,築年月,2023年（令和 5年） 8月,2023年（令和 5年） 8月
20251214_3216,100136413940,2025-12-14,築年月,1982年（昭和57年） 6月,1982年（昭和57年） 6月
20251214_3217,100136413975,2025-12-14,築年月,2012年（平成24年） 8月,2012年（平成24年） 8月
20251214_3218,100136413982,2025-12-14,築年月,1984年（昭和59年） 9月,1984年（昭和59年） 9月
20251214_3219,100136414681,2025-12-14,築年月,2020年（令和 2年） 2月,2020年（令和 2年） 2月
20251214_3220,100136414745,2025-12-14,築年月,2024年（令和 6年） 7月,2024年（令和 6年） 7月
20251214_3221,100136414849,2025-12-14,築年月,2003年（平成15年） 6月,2003年（平成15年） 6月
20251214_3222,100136415014,2025-12-14,取引状況,公開中,申込あり
20251214_3222,100136415014,2025-12-14,築年月,2015年（平成27年） 4月,2015年（平成27年） 4月
20251214_3223,100136415037,2025-12-14,築年月,2024年（令和 6年）10月,2024年（令和 6年）10月
20251214_3224,100136415165,2025-12-14,築年月,2013年（平成25年） 2月,2013年（平成25年） 2月
20251214_3225,100136419610,2025-12-14,築年月,1979年（昭和54年） 1月,1979年（昭和54年） 1月
20251214_3226,100136421646,2025-12-14,築年月,2023年（令和 5年） 8月,2023年（令和 5年） 8月
20251214_3227,100136421702,2025-12-14,築年月,1984年（昭和59年） 9月,1984年（昭和59年） 9月
20251214_3228,100136421710,2025-12-14,築年月,2014年（平成26年） 4月,2014年（平成26年） 4月
20251214_3229,100136421759,2025-12-14,取引状況,公開中,申込あり
20251214_3229,100136421759,2025-12-14,築年月,2025年（令和 7年）10月,2025年（令和 7年）10月
20251214_3230,100136422430,2025-12-14,築年月,2022年（令和 4年）11月,2022年（令和 4年）11月
20251214_3231,100136422438,2025-12-14,築年月,1988年（昭和63年） 2月,1988年（昭和63年） 2月
20251214_3232,100136422545,2025-12-14,築年月,2007年（平成19年） 2月,2007年（平成19年） 2月
20251214_3233,100136422859,2025-12-14,築年月,2012年（平成24年） 5月,2012年（平成24年） 5月
20251214_3234,100136423176,2025-12-14,築年月,2004年（平成16年） 8月,2004年（平成16年） 8月
20251214_3235,100136423831,2025-12-14,築年月,1999年（平成11年） 2月,1999年（平成11年） 2月
20251214_3236,100136424918,2025-12-14,築年月,1991年（平成 3年） 6月,1991年（平成 3年） 6月
20251214_3237,100136425137,2025-12-14,築年月,2014年（平成26年） 8月,2014年（平成26年） 8月
20251214_3238,100136425140,2025-12-14,築年月,2023年（令和 5年） 8月,2023年（令和 5年） 8月
20251214_3239,100136425157,2025-12-14,築年月,2023年（令和 5年） 2月,2023年（令和 5年） 2月
20251214_3240,100136425170,2025-12-14,築年月,1985年（昭和60年） 3月,1985年（昭和60年） 3月
20251214_3241,100136425173,2025-12-14,築年月,1977年（昭和52年） 1月,1977年（昭和52年） 1月
20251214_3242,100136425854,2025-12-14,取引状況,公開中,申込あり
20251214_3243,100136426620,2025-12-14,築年月,2006年（平成18年） 5月,2006年（平成18年） 5月
20251214_3244,100136426621,2025-12-14,築年月,1998年（平成10年） 2月,1998年（平成10年） 2月
20251214_3245,100136427694,2025-12-14,築年月,2016年（平成28年） 5月,2016年（平成28年） 5月
20251214_3246,100136427724,2025-12-14,築年月,2012年（平成24年） 8月,2012年（平成24年） 8月
20251214_3247,100136427759,2025-12-14,築年月,1987年（昭和62年） 1月,1987年（昭和62年） 1月
20251214_3248,100136428097,2025-12-14,築年月,2006年（平成18年） 2月,2006年（平成18年） 2月
20251214_3249,100136428126,2025-12-14,築年月,2016年（平成28年） 1月,2016年（平成28年） 1月
20251214_3250,100136428213,2025-12-14,築年月,1981年（昭和56年） 8月,1981年（昭和56年） 8月
20251214_3251,100136428222,2025-12-14,築年月,1992年（平成 4年）10月,1992年（平成 4年）10月
20251214_3252,100136428231,2025-12-14,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251214_3253,100136428265,2025-12-14,築年月,2019年（平成31年） 1月,2019年（平成31年） 1月
20251214_3254,100136428272,2025-12-14,築年月,2000年（平成12年） 7月,2000年（平成12年） 7月
20251214_3255,100136428412,2025-12-14,築年月,2019年（平成31年） 1月,2019年（平成31年） 1月
20251214_3256,100136428521,2025-12-14,築年月,2017年（平成29年） 5月,2017年（平成29年） 5月
20251214_3257,100136431634,2025-12-14,築年月,1971年（昭和46年） 3月,1971年（昭和46年） 3月
20251214_3258,100136431738,2025-12-14,取引状況,申込あり,公開中
20251214_3258,100136431738,2025-12-14,築年月,1990年（平成 2年） 5月,1990年（平成 2年） 5月
20251214_3259,100136431759,2025-12-14,築年月,2018年（平成30年） 2月,2018年（平成30年） 2月
20251214_3260,100136431771,2025-12-14,築年月,1999年（平成11年） 9月,1999年（平成11年） 9月
20251214_3261,100136432565,2025-12-14,築年月,2024年（令和 6年）12月,2024年（令和 6年）12月
20251214_3262,100136432624,2025-12-14,築年月,2019年（平成31年） 3月,2019年（平成31年） 3月
20251214_3263,100136432701,2025-12-14,築年月,2007年（平成19年） 2月,2007年（平成19年） 2月
20251214_3264,100136432712,2025-12-14,築年月,2012年（平成24年） 3月,2012年（平成24年） 3月
20251214_3265,100136432735,2025-12-14,築年月,1979年（昭和54年） 9月,1979年（昭和54年） 9月
20251214_3266,100136432744,2025-12-14,築年月,2021年（令和 3年） 2月,2021年（令和 3年） 2月
20251214_3267,100136432777,2025-12-14,築年月,2001年（平成13年） 4月,2001年（平成13年） 4月
20251214_3268,100136432797,2025-12-14,築年月,1970年（昭和45年） 6月,1970年（昭和45年） 6月
20251214_3269,100136433181,2025-12-14,築年月,1999年（平成11年） 7月,1999年（平成11年） 7月
20251214_3270,100136433290,2025-12-14,築年月,2023年（令和 5年）11月,2023年（令和 5年）11月
20251214_3271,100136433805,2025-12-14,築年月,2018年（平成30年） 7月,2018年（平成30年） 7月
20251214_3272,100136434124,2025-12-14,築年月,1995年（平成 7年）12月,1995年（平成 7年）12月
20251214_3273,100136434904,2025-12-14,築年月,1975年（昭和50年） 1月,1975年（昭和50年） 1月
20251214_3274,100136434965,2025-12-14,築年月,2010年（平成22年） 2月,2010年（平成22年） 2月
20251214_3275,100136435065,2025-12-14,築年月,2010年（平成22年） 3月,2010年（平成22年） 3月
20251214_3276,100136435098,2025-12-14,築年月,1991年（平成 3年） 6月,1991年（平成 3年） 6月
20251214_3277,100136435100,2025-12-14,築年月,2026年（令和 8年）11月,2026年（令和 8年）11月
20251214_3278,100136435549,2025-12-14,築年月,2012年（平成24年） 2月,2012年（平成24年） 2月
20251214_3279,100136436054,2025-12-14,築年月,2019年（令和 1年） 8月,2019年（令和 1年） 8月
20251214_3280,100136437238,2025-12-14,築年月,1995年（平成 7年） 1月,1995年（平成 7年） 1月
20251214_3281,100136437316,2025-12-14,築年月,1981年（昭和56年） 2月,1981年（昭和56年） 2月
20251214_3282,100136439394,2025-12-14,築年月,1968年（昭和43年） 5月,1968年（昭和43年） 5月
20251214_3283,100136439855,2025-12-14,築年月,2025年（令和 7年） 9月,2025年（令和 7年） 9月
20251214_3284,100136440065,2025-12-14,築年月,1998年（平成10年） 3月,1998年（平成10年） 3月
20251214_3285,100136440066,2025-12-14,築年月,2017年（平成29年） 8月,2017年（平成29年） 8月
20251214_3286,100136440082,2025-12-14,築年月,2023年（令和 5年） 1月,2023年（令和 5年） 1月
20251214_3287,100136440087,2025-12-14,築年月,1981年（昭和56年） 5月,1981年（昭和56年） 5月
20251214_3288,100136441586,2025-12-14,築年月,1982年（昭和57年） 8月,1982年（昭和57年） 8月
20251214_3289,100136441595,2025-12-14,築年月,1973年（昭和48年） 2月,1973年（昭和48年） 2月
20251214_3290,100136441660,2025-12-14,築年月,1984年（昭和59年） 7月,1984年（昭和59年） 7月
20251214_3291,100136441676,2025-12-14,築年月,1998年（平成10年） 2月,1998年（平成10年） 2月
20251214_3292,100136442019,2025-12-14,築年月,2019年（平成31年） 1月,2019年（平成31年） 1月
20251214_3293,100136442110,2025-12-14,築年月,2005年（平成17年） 1月,2005年（平成17年） 1月
20251214_3294,100136442120,2025-12-14,築年月,1967年（昭和42年） 1月,1967年（昭和42年） 1月
20251214_3295,100136442148,2025-12-14,取引状況,公開中,申込あり
20251214_3295,100136442148,2025-12-14,築年月,2000年（平成12年） 9月,2000年（平成12年） 9月
20251214_3296,100136442183,2025-12-14,築年月,1995年（平成 7年） 9月,1995年（平成 7年） 9月
20251214_3297,100136442752,2025-12-14,築年月,2025年（令和 7年） 9月,2025年（令和 7年） 9月
20251214_3298,100136442780,2025-12-14,築年月,2002年（平成14年） 9月,2002年（平成14年） 9月
20251214_3299,100136443285,2025-12-14,築年月,1985年（昭和60年） 3月,1985年（昭和60年） 3月
20251214_3300,100136443371,2025-12-14,築年月,2020年（令和 2年） 1月,2020年（令和 2年） 1月
20251214_3301,100136443919,2025-12-14,築年月,2025年（令和 7年） 3月,2025年（令和 7年） 3月
20251214_3302,100136444090,2025-12-14,㎡単価,118.4万円,107.6万円
20251214_3302,100136444090,2025-12-14,価格,"3,280万円","2,980万円"
20251214_3302,100136444090,2025-12-14,坪単価,391.2万円,355.4万円
20251214_3303,100136444877,2025-12-14,築年月,2005年（平成17年） 5月,2005年（平成17年） 5月
20251214_3304,100136445357,2025-12-14,築年月,1984年（昭和59年） 9月,1984年（昭和59年） 9月
20251214_3305,100136445390,2025-12-14,築年月,2019年（令和 1年） 9月,2019年（令和 1年） 9月
20251214_3306,100136445418,2025-12-14,築年月,1975年（昭和50年） 3月,1975年（昭和50年） 3月
20251214_3307,100136445649,2025-12-14,築年月,2024年（令和 6年）12月,2024年（令和 6年）12月
20251214_3308,100136446711,2025-12-14,築年月,2023年（令和 5年）11月,2023年（令和 5年）11月
20251214_3309,100136446713,2025-12-14,築年月,2023年（令和 5年） 2月,2023年（令和 5年） 2月
20251214_3310,100136446736,2025-12-14,築年月,1971年（昭和46年） 9月,1971年（昭和46年） 9月
20251214_3311,100136446748,2025-12-14,築年月,2023年（令和 5年） 9月,2023年（令和 5年） 9月
20251214_3312,100136447049,2025-12-14,築年月,2010年（平成22年） 5月,2010年（平成22年） 5月
20251214_3313,100136447482,2025-12-14,築年月,2020年（令和 2年） 1月,2020年（令和 2年） 1月
20251214_3314,100136447910,2025-12-14,築年月,2025年（令和 7年） 9月,2025年（令和 7年） 9月
20251214_3315,100136448418,2025-12-14,築年月,2023年（令和 5年） 8月,2023年（令和 5年） 8月
20251214_3316,100136448448,2025-12-14,築年月,1993年（平成 5年） 4月,1993年（平成 5年） 4月
20251214_3317,100136448779,2025-12-14,築年月,1984年（昭和59年） 9月,1984年（昭和59年） 9月
20251214_3318,100136448811,2025-12-14,築年月,2023年（令和 5年） 2月,2023年（令和 5年） 2月
20251214_3319,100136449129,2025-12-14,築年月,1998年（平成10年） 3月,1998年（平成10年） 3月
20251214_3320,100136449148,2025-12-14,築年月,2025年（令和 7年）10月,2025年（令和 7年）10月
20251214_3321,100136449175,2025-12-14,築年月,2014年（平成26年） 8月,2014年（平成26年） 8月
20251214_3322,100136450169,2025-12-14,築年月,1985年（昭和60年） 1月,1985年（昭和60年） 1月
20251214_3323,100136450491,2025-12-14,築年月,1971年（昭和46年） 4月,1971年（昭和46年） 4月
20251214_3324,100136450764,2025-12-14,築年月,2013年（平成25年） 9月,2013年（平成25年） 9月
20251214_3325,100136450982,2025-12-14,築年月,1998年（平成10年） 1月,1998年（平成10年） 1月
20251214_3326,100136451138,2025-12-14,築年月,2025年（令和 7年）10月,2025年（令和 7年）10月
20251214_3327,100136452395,2025-12-14,築年月,1979年（昭和54年） 6月,1979年（昭和54年） 6月
20251214_3328,100136455178,2025-12-14,築年月,2025年（令和 7年）10月,2025年（令和 7年）10月
20251214_3329,100136455390,2025-12-14,築年月,2015年（平成27年） 5月,2015年（平成27年） 5月
20251214_3330,100136456044,2025-12-14,築年月,2008年（平成20年） 4月,2008年（平成20年） 4月
20251214_3331,100136456142,2025-12-14,築年月,1978年（昭和53年） 9月,1978年（昭和53年） 9月
20251214_3332,100136456172,2025-12-14,築年月,2004年（平成16年） 9月,2004年（平成16年） 9月
20251214_3333,100136456264,2025-12-14,築年月,2008年（平成20年） 5月,2008年（平成20年） 5月
